"student_id","cohort","gender","age","state","undergrad_gpa","track","conditional_admit"
"vtiq1tw8h1","Spring 2021",NA,32.2,"NH",3.24,"Full Time",FALSE
"ju4tdrj7jx","Spring 2021","Female",27.9,"OR",3.3,"Accelerated",FALSE
"02ogyu74se","Spring 2021","Female",30.2,"MN",3.65,"Full Time",FALSE
"yuhhpqjgrg","Spring 2021","Male",35.4,"IN",2.71,"Part Time",FALSE
"2oy75axdzm","Spring 2021","Female",37,"MD",3.48,"Part Time",TRUE
"klom6flaqd","Spring 2021","Female",25,"AR",3.57,"Full Time",FALSE
"qtzbj3hx5z","Spring 2021","Female",36.6,"IL",3.21,"Part Time",TRUE
"vjtsvn5z5i","Spring 2021","Female",33.5,"DE",2.97,"Part Time",TRUE
"lr47xrwawa","Spring 2021","Female",42.9,"NM",2.72,"Part Time",TRUE
"xc8dnomuqc","Spring 2021","Female",39.9,"RI",2.58,"Part Time",FALSE
"rm6nwc8rrf","Spring 2021","Male",32.1,"WI",3.71,"Accelerated",FALSE
"e600gtcxvk","Spring 2021","Female",21.2,"KY",3.85,"Full Time",FALSE
"a6yklpe1y5","Spring 2021",NA,21.3,"GA",3.26,"Accelerated",FALSE
"lwahc0zhlb","Spring 2021","Female",34.2,"IN",3.09,"Part Time",TRUE
"64hp9y2k45","Spring 2021","Female",23.6,"MS",NA,"Accelerated",FALSE
"j823h1fwa5","Spring 2021","Female",28.2,"PA",3.51,"Full Time",FALSE
"smprtz0tgk","Spring 2021","Female",35.7,"ND",3.72,"Full Time",FALSE
"l5yce494kj","Spring 2021","Male",34.6,"VA",2.82,"Part Time",FALSE
"d8ilnihi0j","Spring 2021","Male",32.7,"NM",3.82,"Full Time",FALSE
"7zoldcg2wf","Spring 2021","Female",34.8,"TN",3.21,"Full Time",FALSE
"rcgtzq9txg","Spring 2021","Female",43.3,"NC",3.09,"Part Time",FALSE
"8dd5dvht60","Spring 2021","Female",27.1,"NV",3.41,"Full Time",TRUE
"47fq4o8t4m","Spring 2021","Female",31.6,"IL",NA,"Full Time",FALSE
"9qg6ij7ffa","Spring 2021","Female",34.6,"NH",3,"Full Time",FALSE
"ftvvna4haf","Spring 2021","Male",35.4,"OR",2.88,"Part Time",TRUE
"ty26hhk5d9","Spring 2021","Female",27.1,"MT",NA,"Accelerated",FALSE
"5ed1ftp9e4","Spring 2021","Female",29.2,"CO",3.2,"Accelerated",FALSE
"b1yzqznfl1","Spring 2021","Female",37.7,"MS",2.75,"Part Time",FALSE
"ctq9flz24f","Spring 2021","Male",26.6,"IL",3.15,"Full Time",TRUE
"hrru209yp4","Spring 2021","Male",30.1,"NC",3.04,"Full Time",FALSE
"dr6xg18aiz","Spring 2021","Female",32.6,"FL",2.62,"Full Time",TRUE
"efivtvugjh","Spring 2021","Female",30.7,"OK",2.78,"Full Time",FALSE
"jzzjcxpe8v","Spring 2021","Female",29.2,"VA",3.19,"Accelerated",FALSE
"8petio6b9c","Spring 2021","Male",17.8,"CT",3.11,"Full Time",FALSE
"esplolkze7","Spring 2021","Female",26.9,"LA",3.33,"Full Time",FALSE
"71cmhap6fj","Spring 2021","Male",18.9,"NY",NA,"Accelerated",FALSE
"zrwi4i8bxp","Spring 2021",NA,36.5,"OK",2.96,"Part Time",FALSE
"1r8bnvcv1x","Spring 2021","Male",32.4,"AR",2.95,"Part Time",FALSE
"3wz2rv8l6z","Spring 2021","Male",41,"PA",3.43,"Part Time",TRUE
"esnp668xf8","Spring 2021","Female",33.3,"GA",2.66,"Part Time",TRUE
"nx85uozdxc","Spring 2021","Female",34.1,"NV",3.37,"Full Time",FALSE
"08htjlum72","Spring 2021","Male",36.9,"FL",2.38,"Full Time",TRUE
"sryrz0yz2n","Spring 2021","Female",27,"NJ",3.64,"Accelerated",FALSE
"4remcvx4r6","Spring 2021","Male",25.3,"NY",3.02,"Full Time",FALSE
"hvy57i5ky5","Spring 2021","Female",39.1,"MI",2.39,"Part Time",TRUE
"n15qy03uy4","Spring 2021","Male",31.2,"NH",3.07,"Accelerated",FALSE
"majzvbko4a","Spring 2021",NA,26.5,"KS",3.54,"Accelerated",FALSE
"pro82n689d","Spring 2021","Male",28.5,"CT",3.95,"Accelerated",FALSE
"1yn720uq8k","Spring 2021","Male",33.6,"AL",2.99,"Part Time",FALSE
"2w5or196og","Spring 2021","Male",28.5,"AR",3.17,"Full Time",FALSE
"x1pwkf527i","Spring 2021","Male",31.7,"SD",NA,"Full Time",TRUE
"f89tp1b2id","Spring 2021","Male",28.8,"MO",3.68,"Full Time",FALSE
"cbcvw71kee","Spring 2021",NA,32,"HI",3.14,"Full Time",FALSE
"kd1whuy24e","Spring 2021","Male",31,"RI",NA,"Accelerated",FALSE
"m1ltka8wjd","Spring 2021","Female",37.7,"IN",2.82,"Full Time",FALSE
"hw7vbkypx4","Spring 2021","Female",22,"IN",2.77,"Full Time",FALSE
"qgxjr2ftu3","Spring 2021","Female",22.8,"IN",3,"Accelerated",FALSE
"qd62ekpkdz","Spring 2021","Male",29,NA,3.35,"Accelerated",FALSE
"3kp700424n","Spring 2021","Female",26.9,"HI",3.54,"Full Time",FALSE
"gttlsetptp","Spring 2021","Female",29.2,"AR",2.98,"Accelerated",FALSE
"j58i6nhj6h","Spring 2021","Male",34.4,"MO",3.28,"Part Time",FALSE
"jqtd9xswbh","Spring 2021","Male",38.3,"LA",3.12,"Part Time",TRUE
"5p5atpnweo","Spring 2021","Male",24.1,"LA",3.18,"Accelerated",FALSE
"vjynhzumc8","Spring 2021","Female",40.3,"MO",2.3,"Part Time",FALSE
"qufn1e76x2","Spring 2021","Female",33.6,"WV",3.46,"Accelerated",FALSE
"q922pwlfo3","Spring 2021","Male",43.8,"FL",2.51,"Part Time",FALSE
"9hxtqg1zuq","Spring 2021","Female",35.7,"NV",3.31,"Part Time",FALSE
"obvdq65yk7","Spring 2021","Female",41.2,"NY",3.97,"Part Time",FALSE
"91i1kev63b","Spring 2021","Male",36.3,"AL",3.13,"Part Time",FALSE
"ti528c3e2p","Spring 2021","Male",34.9,"NY",3.26,"Part Time",FALSE
"9k9tyku3pt","Spring 2021","Female",27.7,"MA",NA,"Accelerated",FALSE
"j9dyjhe7yd","Spring 2021","Female",36.4,"AL",2.3,"Part Time",FALSE
"vlqp4i8qu8","Spring 2021","Female",39.1,"OK",2.73,"Part Time",FALSE
"baucfkadxg","Spring 2021","Female",36.3,"UT",3.74,"Part Time",TRUE
"ggzchxi9hy","Spring 2021","Male",35.5,"WI",2.94,"Full Time",TRUE
"gxeb1i359u","Spring 2021","Male",30.2,"HI",2.96,"Accelerated",FALSE
"lcafwpvik8","Spring 2021","Female",36.1,"SC",2.97,"Part Time",TRUE
"xnmxxjs251","Spring 2021",NA,22,"KY",3.19,"Full Time",FALSE
"oylxbe8gyj","Spring 2021","Female",32.6,"MI",3.46,"Full Time",FALSE
"wstlypjry1","Spring 2021","Male",19.9,"IL",3.68,"Accelerated",FALSE
"hrr5rht671","Spring 2021","Male",31.3,"AL",3.09,"Full Time",FALSE
"8gbpp5fdjm","Spring 2021","Female",33.8,"NH",3.16,"Full Time",FALSE
"mw1o1q9r4n","Spring 2021","Female",39.7,"NM",2.88,"Part Time",TRUE
"vyykdfylz2","Spring 2021",NA,35.5,"VA",2.95,"Full Time",FALSE
"8z5r3ja163","Spring 2021","Male",37.4,"OH",3.51,"Full Time",FALSE
"13losv2lt6","Spring 2021","Female",21.2,"NC",3,"Full Time",FALSE
"x3sujkhnon","Spring 2021","Male",30.9,"CO",3.23,"Full Time",FALSE
"9om3dcensl","Spring 2021","Female",23.2,"CT",3.84,"Accelerated",FALSE
"2yv1qu5nv5","Spring 2021","Male",42.2,"OH",2.77,"Part Time",FALSE
"m7onwipdc7","Spring 2021","Female",34,"SC",3,"Part Time",FALSE
"5jrgdej5vk","Spring 2021","Female",26.9,"ME",3.24,"Full Time",FALSE
"65oqrm1z2d","Spring 2021","Male",32.9,"HI",3.13,"Full Time",TRUE
"209e0bt96t","Spring 2021","Male",33,"ID",3.39,"Full Time",FALSE
"6bs7kod5fl","Spring 2021","Male",39,"WY",2.6,"Part Time",TRUE
"twq6ayrvzq","Spring 2021","Male",36.8,"IA",2.63,"Part Time",FALSE
"u53umbzmtb","Spring 2021","Male",33.3,"WA",2.53,"Part Time",TRUE
"6afq91covs","Spring 2021","Male",35.7,"CA",NA,"Part Time",TRUE
"ovnmi0uyv6","Spring 2021","Male",32.4,"MI",3.09,"Part Time",TRUE
"39gvkfqvps","Spring 2021","Female",30.8,"CO",3.4,"Full Time",TRUE
"djmt8ohct7","Spring 2021","Male",23.6,"WA",2.89,"Accelerated",FALSE
"g2cqs0rilr","Spring 2021","Female",35.7,"CA",3.58,"Full Time",FALSE
"9c1jity2a6","Spring 2021","Male",29,"NM",3.69,"Full Time",FALSE
"57n24g7wkm","Spring 2021",NA,27.1,"CA",3.33,"Full Time",FALSE
"bqej6eiq1y","Spring 2021","Female",33.8,"VA",3.42,"Full Time",FALSE
"hip7l8cj9g","Spring 2021","Male",38.1,"NV",2.87,"Part Time",TRUE
"6weuufn3gw","Spring 2021","Male",24.9,"AK",3.41,"Accelerated",FALSE
"aq9fhwzonb","Spring 2021","Female",32.2,"OH",3.43,"Full Time",FALSE
"vffq92e34s","Spring 2021","Female",31.7,"NC",3.45,"Part Time",FALSE
"hlc06wycen","Spring 2021","Male",39.7,NA,3.32,"Part Time",FALSE
"7qerv0679o","Spring 2021","Male",31.9,"TN",3.4,"Full Time",FALSE
"p4kkvcacu6","Spring 2021","Male",40.1,"FL",3.49,"Full Time",FALSE
"7qn7k4pmmg","Spring 2021",NA,32.5,"CO",2.55,"Full Time",TRUE
"rvr8xq9otj","Spring 2021","Male",31.7,"VA",3.85,"Accelerated",FALSE
"okr53invoj","Spring 2021","Male",35.1,"NV",3.89,"Accelerated",FALSE
"0g5n9q7t80","Spring 2021","Male",27.5,"MT",2.99,"Full Time",FALSE
"qr2roimllm","Spring 2021","Male",30.8,"ND",3.47,"Accelerated",FALSE
"ili4kdezon","Spring 2021",NA,42.5,"WV",3.3,"Part Time",TRUE
"l1iu5j0a61","Spring 2021","Female",29.8,"NC",3.17,"Full Time",FALSE
"o3o0c4x81e","Spring 2021","Female",37.8,"NY",3.01,"Part Time",TRUE
"c6nd6onopu","Spring 2021","Female",37.7,"NE",2.92,"Part Time",TRUE
"bfzqocspqr","Spring 2021","Female",27.8,"ID",3.12,"Full Time",FALSE
"3ega2xp5d3","Spring 2021","Male",25.1,"MT",3.29,"Accelerated",FALSE
"dmonl3b061","Spring 2021","Female",30.2,"DE",3.57,"Accelerated",FALSE
"fktyoeeuoy","Spring 2021","Male",31.8,"MI",NA,"Part Time",TRUE
"f883u39kcy","Spring 2021","Female",35.8,"IL",2.49,"Part Time",FALSE
"75c8lv0dhu","Spring 2021","Male",34.2,"SD",NA,"Part Time",FALSE
"9e686ufem0","Spring 2021","Female",31.4,"SC",3.23,"Accelerated",FALSE
"tyth41ye4r","Spring 2021","Female",25.1,"ME",3.86,"Accelerated",FALSE
"a9wz7xrkw6","Spring 2021","Male",32.4,"SC",3.83,"Accelerated",FALSE
"n86cofmdcy","Spring 2021","Male",34.6,"WA",2.83,"Part Time",TRUE
"gdhtecdmyu","Spring 2021","Male",34.5,"AR",NA,"Part Time",FALSE
"55rdq11irv","Spring 2021","Female",13.8,"ME",3.51,"Accelerated",FALSE
"1oy0d7y7vo","Spring 2021","Male",34,"NY",3.84,"Accelerated",FALSE
"06z128ah2z","Spring 2021","Male",37.2,"WI",2.89,"Part Time",FALSE
"sbqbh2c57r","Spring 2021","Male",30,"TN",2.94,"Full Time",FALSE
"pk8aj78917","Spring 2021","Female",33.9,"CA",3.05,"Part Time",FALSE
"q0262mox9m","Spring 2021","Female",42.6,"OR",2.33,"Part Time",FALSE
"s811pm2554","Spring 2021","Male",25.8,"NV",3.45,"Accelerated",FALSE
"gsabguqfys","Spring 2021","Male",38.3,"RI",3.32,"Part Time",FALSE
"ykasmiijcc","Spring 2021","Male",28.4,"AZ",3.35,"Full Time",FALSE
"aj10qzvtyi","Spring 2021","Male",23.6,"WY",3.52,"Full Time",FALSE
"7v80cfvhr6","Spring 2021","Male",28.9,"CT",3.8,"Full Time",FALSE
"kvd40kmvlk","Spring 2021","Male",23.7,"UT",3.78,"Full Time",FALSE
"853zzih8xm","Spring 2021","Male",37.3,"SD",2.63,"Part Time",TRUE
"hqxtn14itw","Spring 2021","Female",33.7,"UT",3.3,"Full Time",TRUE
"u3c9mpqcdz","Spring 2021","Female",24.9,"LA",2.81,"Full Time",FALSE
"clg4kmk138","Spring 2021","Male",36.5,"AL",3.13,"Full Time",FALSE
"fok8erad2u","Spring 2021","Female",35.2,"NY",3.58,"Accelerated",FALSE
"6d0eme4ncc","Spring 2021","Male",31.3,"NC",2.8,"Part Time",FALSE
"gwdhej9gcx","Spring 2021","Male",40.6,"OR",2.67,"Part Time",TRUE
"t3e9fcqcjr","Spring 2021","Male",39.8,"NM",3.35,"Full Time",TRUE
"yb3mupqisa","Spring 2021",NA,31.4,"ID",3.38,"Full Time",FALSE
"hngm6xkc99","Spring 2021","Male",28.9,"IL",3.04,"Accelerated",FALSE
"voenebdcvh","Spring 2021","Male",39.3,"OK",2.97,"Part Time",TRUE
"ivjf8y6ovg","Spring 2021","Male",38.5,"UT",2.91,"Part Time",TRUE
"xvrabhvbgm","Spring 2021","Female",41.8,"AR",3.33,"Part Time",TRUE
"qle7ukzn0z","Spring 2021","Male",38.6,"VA",NA,"Part Time",TRUE
"qlumlyqfzr","Spring 2021","Male",29.6,"NH",3.56,"Accelerated",FALSE
"gfbzvw1r3p","Spring 2021","Female",39.9,NA,2.63,"Part Time",FALSE
"qkjhw1tqxt","Spring 2021","Male",20.6,"WV",3.35,"Accelerated",FALSE
"mq6sc0ippl","Spring 2021","Female",25.6,"MA",3.07,"Accelerated",FALSE
"rmarz8ir7e","Spring 2021","Male",35.7,NA,2.99,"Part Time",FALSE
"a4h3eta2dz","Spring 2021",NA,30.7,"IA",3.16,"Part Time",TRUE
"mcyap6oipp","Spring 2021","Male",33,"PA",3.16,"Full Time",TRUE
"fwxctcb231","Spring 2021",NA,27.9,"CO",3.43,"Accelerated",FALSE
"kfpcvqgkna","Spring 2021","Male",28,"IL",3.25,"Full Time",FALSE
"2r1x2ctdtf","Spring 2021","Male",27,"MT",3.44,"Full Time",FALSE
"sjurooq5dw","Spring 2021","Female",35.9,"NC",3.13,"Part Time",TRUE
"2a0pnk9spf","Spring 2021","Male",24.9,"MI",2.65,"Accelerated",FALSE
"gdk5hv1bme","Spring 2021","Female",26,"CA",NA,"Full Time",FALSE
"hbc27ydo4c","Spring 2021","Female",34.8,"NC",3.03,"Part Time",TRUE
"bi5aawxdor","Spring 2021","Female",26.6,"OR",3.18,"Accelerated",FALSE
"p6fjdifb0z","Spring 2021","Female",35.3,"MT",3.13,"Full Time",FALSE
"hwh0353cub","Spring 2021","Female",41.3,"AL",2.59,"Part Time",TRUE
"gbsu9tpyu3","Spring 2021","Female",34,"AR",3.64,"Part Time",TRUE
"5c8buxu9ez","Spring 2021","Female",31.3,"UT",3.56,"Accelerated",FALSE
"tvflhfb584","Spring 2021","Male",32.2,"IN",3.08,"Part Time",FALSE
"8wovhh0jii","Spring 2021","Female",29.7,"VT",3.12,"Accelerated",FALSE
"mqz09yg6p7","Spring 2021","Male",35.4,"NV",2.61,"Full Time",FALSE
"6j9b2fsn8i","Spring 2021",NA,30.1,"WY",2.63,"Full Time",FALSE
"k9txo73rh1","Spring 2021","Male",25.6,"GA",3.74,"Accelerated",FALSE
"ejhzgwbm5g","Spring 2021","Female",26.9,"VT",3.58,"Accelerated",FALSE
"p4we0rglf4","Spring 2021","Male",39.3,"SC",NA,"Full Time",TRUE
"q8qnqc3az3","Spring 2021","Male",33.3,"UT",3.24,"Full Time",FALSE
"31u42qzn4a","Spring 2021","Male",31.2,NA,3.74,"Full Time",TRUE
"tqel245yhk","Spring 2021","Female",26.9,NA,2.97,"Full Time",FALSE
"rtdcj4lxlm","Spring 2021","Male",23.5,"CT",2.99,"Accelerated",FALSE
"la5k7uo140","Spring 2021","Female",21.5,"MA",3.27,"Full Time",FALSE
"1l383q2tu3","Spring 2021","Male",36.5,"OH",2.97,"Full Time",FALSE
"6krsxzfr72","Spring 2021","Female",35.5,"IL",2.68,"Part Time",FALSE
"z3j60prblc","Spring 2021",NA,31.6,"IA",3.17,"Full Time",FALSE
"bmz6icr3d4","Spring 2021","Male",31.9,"NH",3.18,"Full Time",TRUE
"qykk6gklu7","Spring 2021","Female",21.3,"ND",4.14,"Accelerated",FALSE
"nyhav82ikk","Spring 2021","Female",27.6,"TN",3.2,"Full Time",FALSE
"9nbuuv0p2b","Spring 2021","Male",32.6,"CO",3.33,"Accelerated",FALSE
"a96wn7w9w3","Spring 2021","Male",24.4,"TX",3.16,"Accelerated",FALSE
"zahn5w0d6b","Spring 2021","Female",30.1,"AZ",3.33,"Full Time",TRUE
"a54am2dfi2","Spring 2021","Female",43.4,"OK",3.62,"Part Time",FALSE
"7ep298pyfm","Spring 2021","Female",28.2,"DE",3.29,"Full Time",FALSE
"up5aob89y6","Spring 2021","Male",28.8,"RI",3.06,"Full Time",FALSE
"x6j94gp5lu","Spring 2021","Male",27.5,"RI",NA,"Full Time",FALSE
"81hl0jrfbj","Spring 2021","Male",33.9,"AR",3.83,"Full Time",FALSE
"91l4ccpu5i","Spring 2021","Female",35.2,"OH",3.09,"Full Time",FALSE
"70z9yv10tf","Spring 2021","Female",31.1,"LA",3.07,"Full Time",FALSE
"z64hdxa4ce","Spring 2021","Female",48.5,"NM",3.05,"Part Time",FALSE
"vk6g1wz190","Spring 2021",NA,37.8,"GA",3.1,"Full Time",FALSE
"j4kiel22b7","Spring 2021","Female",27.5,"AZ",3.22,"Accelerated",FALSE
"dwo6b7922r","Spring 2021","Female",32.9,NA,3.56,"Full Time",FALSE
"q50mwz1nsi","Spring 2021","Female",29.5,"OH",NA,"Accelerated",FALSE
"lcx3zljoa7","Spring 2021",NA,33.3,"AZ",2.77,"Part Time",TRUE
"8ic0pmhgvo","Spring 2021","Male",25.2,NA,3.33,"Full Time",FALSE
"6pkufnp0yy","Spring 2021","Female",28.1,"CA",3.78,"Accelerated",FALSE
"yw63qxcopr","Spring 2021",NA,28.2,"NM",3.14,"Accelerated",FALSE
"ss1rmivx8u","Spring 2021","Female",24.5,"KS",NA,"Accelerated",FALSE
"bm2s14kfq8","Spring 2021","Female",37.5,"NC",3.23,"Part Time",TRUE
"tujkve27tv","Spring 2021",NA,36.4,"MD",3.05,"Full Time",TRUE
"0y5i60il10","Spring 2021","Male",19.5,"WA",NA,"Accelerated",FALSE
"gw3cc4ypun","Spring 2021","Male",36.6,"MT",2.83,"Full Time",FALSE
"iv3rg43n80","Spring 2021","Female",24.3,"NJ",3.25,"Accelerated",FALSE
"s39lc7xo9v","Spring 2021","Female",29.5,"WY",3.62,"Full Time",FALSE
"79vg1lko7h","Spring 2021","Male",34.2,"SC",3.67,"Accelerated",FALSE
"emff348hhb","Spring 2021","Female",29.3,"WV",3.6,"Accelerated",FALSE
"frjv4pur7h","Spring 2021","Female",33.3,NA,2.85,"Part Time",FALSE
"6di3zye6z8","Spring 2021","Male",26.5,"OK",3.15,"Full Time",FALSE
"ba36agux5r","Spring 2021","Male",27.4,"MD",3.38,"Accelerated",FALSE
"bfn8e5b3gj","Spring 2021","Female",41,"HI",2.78,"Part Time",FALSE
"sfqjheg5sp","Spring 2021","Male",31.1,"CA",3.24,"Full Time",TRUE
"yy4wusjn43","Spring 2021","Female",35.3,"MN",3.58,"Part Time",TRUE
"rwyb7od01j","Spring 2021","Male",25,NA,3.76,"Accelerated",FALSE
"19c47dvma5","Spring 2021","Female",32.1,"AZ",NA,"Accelerated",FALSE
"noqsisequu","Spring 2021","Female",40.3,"OH",NA,"Accelerated",FALSE
"akrpppf62l","Spring 2021","Female",29.3,"MT",2.55,"Part Time",FALSE
"48m01ezfop","Spring 2021",NA,34.6,"AR",2.94,"Full Time",TRUE
"xvjwrgk6wa","Spring 2021","Female",35.9,"FL",2.71,"Part Time",FALSE
"vk65a5njvx","Spring 2021","Female",22.9,"SC",3.06,"Accelerated",FALSE
"5n7qglgzpn","Spring 2021","Male",26.9,"MT",3.7,"Accelerated",FALSE
"oxl3pg7l16","Spring 2021",NA,44.4,"AZ",2.99,"Part Time",FALSE
"cxrvx1hzoy","Spring 2021","Female",41.2,"OH",3.03,"Part Time",TRUE
"7ulyl1qtzo","Spring 2021","Female",21.4,NA,3.6,"Accelerated",FALSE
"4upte4l6mj","Spring 2021","Male",37.4,"WY",3.04,"Full Time",FALSE
"8nc42962d8","Spring 2021","Male",25.9,"ND",2.93,"Full Time",TRUE
"zwzp79q0h5","Spring 2021","Female",36.8,"LA",2.73,"Full Time",TRUE
